Date,Event mm,Flag,
18/11/2014 13:34:06,0.2,,
18/11/2014 13:34:07,0.2,,
18/11/2014 13:35:27,0.2,,
18/11/2014 13:37:02,0.2,,
18/11/2014 13:37:03,0.2,,
18/11/2014 13:38:38,0.2,,
18/11/2014 13:40:10,0.2,,
18/11/2014 13:41:24,0.2,,
18/11/2014 13:43:14,0.2,,
18/11/2014 13:45:39,0.2,,
18/11/2014 13:48:13,0.2,,
18/11/2014 13:50:54,0.2,,
18/11/2014 13:53:22,0.2,,
18/11/2014 13:53:23,0.2,,
18/11/2014 13:56:08,0.2,,
18/11/2014 13:59:13,0.2,,
18/11/2014 13:59:14,0.2,,
18/11/2014 14:02:23,0.2,,
18/11/2014 14:07:22,0.2,,
18/11/2014 14:11:34,0.2,,
18/11/2014 14:13:49,0.2,,
18/11/2014 14:17:55,0.2,,
18/11/2014 14:17:56,0.2,,
18/11/2014 14:21:57,0.2,,
18/11/2014 14:21:58,0.2,,
18/11/2014 14:26:22,0.2,,
18/11/2014 14:31:31,0.2,,
18/11/2014 14:35:12,0.2,,
18/11/2014 14:39:38,0.2,,
18/11/2014 14:43:56,0.2,,
18/11/2014 14:47:57,0.2,,
18/11/2014 14:52:50,0.2,,
18/11/2014 14:52:51,0.2,,
18/11/2014 15:01:56,0.2,,
18/11/2014 15:12:47,0.2,,
18/11/2014 15:21:02,0.2,,
18/11/2014 15:27:48,0.2,,
18/11/2014 15:35:15,0.2,,
18/11/2014 15:41:41,0.2,,
18/11/2014 15:49:45,0.2,,
18/11/2014 16:50:47,0.2,,
18/11/2014 21:46:10,0.2,,
20/11/2014 12:50:13,0,D,
20/11/2014 13:00:00,0,I,
05/12/2014 15:06:40,0.2,,
05/12/2014 16:49:58,0.2,,
05/12/2014 17:01:25,0.2,,
06/12/2014 15:15:58,0.2,,
09/12/2014 14:26:16,0.2,,
09/12/2014 14:31:16,0.2,,
09/12/2014 14:39:03,0.2,,
09/12/2014 14:46:34,0.2,,
09/12/2014 14:51:17,0.2,,
09/12/2014 15:00:41,0.2,,
